secid,date,cp_flag,index_flag,days,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,delta,impl_volatility,impl_strike,impl_premium,dispersion,_1_MO,_2_MO,_3_MO,_6_MO,_1_YR,_2_YR,_3_YR,_5_YR,_7_YR,_10_YR,_30_YR,close
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,80,0.600817,2310.768,375.9593,0.037172,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,75,0.581339,2384.974,318.0381,0.038303,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,70,0.56119,2450.485,269.2149,0.037393,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,60,0.523689,2562.407,192.4927,0.033623,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,55,0.506504,2611.72,161.9488,0.032282,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,50,0.489928,2658.01,135.3119,0.031669,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,45,0.473588,2702,111.9192,0.031353,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,40,0.457438,2744.331,91.34364,0.031008,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,35,0.441464,2785.675,73.25559,0.030713,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,30,0.425489,2826.734,57.36849,0.030498,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,25,0.409462,2868.477,43.47657,0.030086,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,20,0.393942,2912.883,31.46312,0.028969,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,15,0.380537,2964.581,21.25101,0.026915,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,10,0.371657,3034.177,12.70277,0.025088,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,65,0.541874,2509.091,227.8588,0.03553,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,85,0.616614,2225.809,445.019,0.033976,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-10,0.773861,2029.928,30.40006,0.065223,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-15,0.741621,2159.667,47.95682,0.062947,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-20,0.706893,2265.252,65.76122,0.060479,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-25,0.672509,2354.331,83.60856,0.056198,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-30,0.641344,2430.742,101.7731,0.050902,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-35,0.613961,2497.728,120.56,0.046038,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-40,0.589498,2557.878,140.1069,0.042109,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-45,0.567253,2613.006,160.5512,0.039034,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-50,0.546972,2664.479,182.1578,0.036491,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-55,0.52878,2713.54,205.4124,0.034008,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-60,0.512917,2761.515,231.0452,0.031661,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-65,0.499412,2809.853,259.9651,0.030058,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-70,0.490111,2861.279,294.6713,0.032762,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-75,0.492949,2924.201,343.8232,0.050863,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-80,0.516411,3014.021,422.4272,0.08005,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
108105,26-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-85,0.553744,3141.977,539.9745,0.102763,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
